food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
-sized red onion,40.0,1.1,0.1,9.34,4.24,1.7,4.0,0.042,yes
-sized tomatoes,302.0,12.9,0.44,74.7,43.9,16.5,134.0,0.062,yes
-squeezed lemon juice,22.0,0.35,0.24,6.9,2.52,0.3,1.0,0.04,yes
-squeezed orange juice,45.0,0.6,0.3,10.2,8.26,0.1,0.0,0.035,yes
a -diameter cookie cutter,433.0,11.8,13.2,67.1,24.2,0.2,300.0,2.35,yes
a -sized banana,346.0,3.89,1.81,88.3,47.3,9.9,3.0,0.698,yes
a big handful of shishito peppers,234.0,12.8,11.6,21.0,3.7,1.7,454.0,4.16,yes
a big of dried oregano,265.0,9.0,4.28,68.9,4.09,42.5,25.0,1.55,yes
a bunch of,400.0,7.1,5.0,82.8,20.4,5.8,464.0,0.6,yes
a bunch of gai lan,400.0,7.1,5.0,82.8,20.4,5.8,464.0,0.6,yes
a butternut squash,45.0,1.0,0.1,11.7,2.2,2.0,4.0,0.021,yes
a butternut squash or sweet potatoes,45.0,1.0,0.1,11.7,2.2,2.0,4.0,0.021,yes
a few handfuls arugula,25.0,2.58,0.66,3.65,2.05,1.6,27.0,0.086,yes
a few pinches of black pepper,251.0,10.4,3.26,64.0,0.64,25.3,20.0,1.39,yes
a few twists of black pepper,251.0,10.4,3.26,64.0,0.64,25.3,20.0,1.39,yes
a handful of cilantro sprigs,23.0,2.13,0.52,3.67,0.87,2.8,46.0,0.014,yes
a handful of parsley,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
a lemon,17.0,0.47,0.07,5.66,1.59,0.7,26.0,0.027,yes
a little lemon zest or cinnamon,309.0,16.2,17.0,22.8,2.76,1.6,455.0,7.33,yes
a little olive or sunflower oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,9.01,yes
a of salt,717.0,0.85,81.1,0.06,0.06,0.0,643.0,51.4,yes
a pomegranate,83.0,1.67,1.17,18.7,13.7,4.0,3.0,0.12,yes
a shot of dark rum or whiskey,295.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yes
a sized banana,346.0,3.89,1.81,88.3,47.3,9.9,3.0,0.698,yes
absolut citron vodka,231.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yes
achiote paste,458.0,9.0,27.7,47.8,36.2,4.8,9.0,2.63,yes
acorn squash,40.0,0.8,0.1,10.4,0.0,1.5,3.0,0.021,yes
acorn squashes,40.0,0.8,0.1,10.4,0.0,1.5,3.0,0.021,yes
active dry or instant yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
active dry yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
active sourdough starter,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
add a protien tofu,94.0,3.5,1.8,16.0,1.24,0.2,35.0,0.259,yes
add herbs such as basil,23.0,3.15,0.64,2.65,0.3,1.6,4.0,0.041,yes
additional cinnamon,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
additional cold water,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
additional confectioners sugar,539.0,2.2,29.0,67.1,67.1,0.0,89.0,24.1,yes
additional garnishes,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
additional herbs and spices,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
